country_code,postal_code_clean,city_raw,city_normalized,city_normalization_confidence,city_normalization_method,city_normalization_note,admin_region,admin_district,latitude,longitude,geonames_places_count,geonames_place_names
CZ,10000,Praha 10-Žižkov,Praha,0.98,major_city_prefix_rule,Postal district/place starts with Praha,Hlavní město Praha,Hlavní město Praha,50.07742,14.46584,10,Praha 10-Žižkov | Strašnice | Malešice | Vinohrady | Vršovice | Praha 10-Malešice | Praha 10-Vinohrady | Žižkov | Praha 10-Vršovice | Praha 10-Strašnice
CZ,10100,Praha 10-Záběhlice,Praha,0.98,major_city_prefix_rule,Postal district/place starts with Praha,Hlavní město Praha,Hlavní město Praha,50.062388,14.462312,8,Praha 10-Záběhlice | Vršovice | Praha 10-Vinohrady | Michle | Vinohrady | Záběhlice | Praha 10-Michle | Praha 10-Vršovice
CZ,10200,Hostivař,Hostivař,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Hlavní město Praha,Hlavní město Praha,50.0606,14.5398,4,Hostivař | Štěrboholy | Praha 10-Hostivař | Praha 10-Štěrboholy
CZ,10300,Praha 10-Nedvězí,Praha,0.98,major_city_prefix_rule,Postal district/place starts with Praha,Hlavní město Praha,Hlavní město Praha,50.011912,14.62685,8,Praha 10-Nedvězí | Kolovraty | Praha 10-Kolovraty | Praha 10-Lipany | Benice | Lipany | Praha 10-Benice | Nedvězí
CZ,10400,Uhříněves,Uhříněves,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Hlavní město Praha,Hlavní město Praha,50.03318,14.60523,10,Uhříněves | Královice | Praha 10-Pitkovice | Praha 10-Hájek | Praha 10-Uhříněves | Praha 10-Královice | Pitkovice | Hájek | Křeslice | Praha 10-Křeslice
CZ,10600,Praha 10-Záběhlice,Praha,0.98,major_city_prefix_rule,Postal district/place starts with Praha,Hlavní město Praha,Hlavní město Praha,50.0573,14.5038,2,Praha 10-Záběhlice | Záběhlice
CZ,10700,Dubeč,Dubeč,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Hlavní město Praha,Hlavní město Praha,50.0625,14.5941,2,Dubeč | Praha 10-Dubeč
CZ,10800,Strašnice,Strašnice,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Hlavní město Praha,Hlavní město Praha,50.092367,14.513033,6,Strašnice | Praha 9-Hrdlořezy | Praha 10-Malešice | Malešice | Hrdlořezy | Praha 10-Strašnice
CZ,10900,Praha 10-Horní Měcholupy,Praha,0.98,major_city_prefix_rule,Postal district/place starts with Praha,Hlavní město Praha,Hlavní město Praha,50.048133,14.556933,6,Praha 10-Horní Měcholupy | Dolní Měcholupy | Praha 10-Petrovice | Petrovice | Praha 10-Dolní Měcholupy | Horní Měcholupy
CZ,11000,Praha 1-Nové Město,Praha,0.98,major_city_prefix_rule,Postal district/place starts with Praha,Hlavní město Praha,Hlavní město Praha,50.085625,14.423862,8,Praha 1-Nové Město | Praha 1-Vinohrady | Josefov | Praha 1-Josefov | Vinohrady | Praha 1-Staré Město | Staré Město | Nové Město
CZ,11800,Malá Strana,Malá Strana,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Hlavní město Praha,Hlavní město Praha,50.091817,14.410733,6,Malá Strana | Praha 1-Hradčany | Holešovice | Hradčany | Praha 1-Holešovice | Praha 1-Malá Strana
CZ,11900,Hradčany,Hradčany,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Hlavní město Praha,Hlavní město Praha,50.0895,14.3976,2,Hradčany | Praha 1-Hradčany
CZ,12000,Praha 2-Nové Město,Praha,0.98,major_city_prefix_rule,Postal district/place starts with Praha,Hlavní město Praha,Hlavní město Praha,50.07635,14.4323,4,Praha 2-Nové Město | Nové Město | Vinohrady | Praha 2-Vinohrady
